feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
V12,-0.002446400384149385,0.013086337065031416,-0.019632270903560258,0.0022967920645397054,0.06548170378353342,-0.009664832380318096,-0.0034989413092275995,-0.02889581401627238,0.0045845590634535595,0.013398233151428128,0.011890000577027366,0.0017345398588124764,0.03467090310380828,-0.004719968555696615,0.0031027570623166673,0.0049483687283615576,9.00957745558583e-4,0.017589585995004032,0.013151662863641654,-0.019190803817793645,0.0037421168203170207,0.0318957206858388,-0.004835499363277651,-0.02699419600692646,-0.01950932882391402,0.017415287136073702,-0.007800991827317063,0.012188692218896601,0.01372833920353195,-0.0014510010132655815
V13,-0.01916653266749631,0.013780295959096552,-0.010975597893019922,0.017255044301615077,0.010952003757100861,-0.01626782909471109,-0.015616971534451357,-0.03926129228544654,-0.00954014545151267,-4.3765731581129404e-4,-0.005750128713933092,-0.024505661469537462,6.390448506193555e-4,-0.029891408370456875,-0.010031382971015902,-0.010680812057361443,0.012737305626177134,0.00315300105276408,-0.01759822850031892,-0.016919031529434466,0.0032683827952926614,-0.0322510004669288,-0.010942608121060732,-0.00417275166677795,0.02469302108431106,-0.010805370566662283,-0.04142244697839852,-0.001285177690115209,0.008423070958298435,0.02720312813974797
V14,-0.007173250963012047,-0.011837478579467866,-0.03211167672423865,-0.005648239946455933,0.0014558477585258972,0.005611388895766469,-0.03008221077828665,3.1587692883323386e-6,-0.012670963895705614,-0.004505497402562127,-0.013839783818338069,-0.0025058813384943764,0.0018447951310868475,-0.004259741671972232,4.5036930085137864e-4,0.04339382992790694,0.005331894551251261,-0.022896095067812483,0.0010865700621261185,-0.014595541827416215,0.033010150385999616,-0.0015439919589370415,-2.3308899724190023e-5,-0.013079060243637444,0.02598921859927371,0.007482246817199463,0.01919083637178767,-0.012978649820416624,0.020107354082297524,-0.012208022630441448
V15,0.012148737435411837,-0.03047515672311181,-0.0023504125910338096,0.02927562975143242,0.015453953398244479,-0.029263717782838122,0.012484257862555378,0.00768996461452997,0.01131541891758374,-0.014679857513180919,0.00157874126562014,0.03211746912223476,0.02140304389778103,-0.007935670523134195,-0.006786845923821757,0.017299785972667996,0.004853290526682987,-0.0012158308196443645,-0.026277294360118483,0.00453153516892864,0.015051451494376197,0.015363380181057963,0.005042391416338126,0.00838592069383358,-0.014132718275041175,0.008143218635243093,0.01059583672976141,0.003581530379043511,-0.01872518710747511,-0.014818824666394606
V16,0.032668793498462266,0.028076874714734166,0.013688740857634793,0.009730935582409247,0.024454361472009096,0.006640794322727879,-0.007747814199860589,-0.004403214046244767,-0.010077843647558876,-0.024850556358519616,0.011566927158995455,-0.006339486597870245,0.006990267915857531,0.00903933656860436,-0.011065954900696286,0.0056347167847813455,8.560675012522109e-4,0.007193599115713883,-0.002150349783575204,-0.013700426059284235,0.004109407794810844,-0.001096923258444044,0.0017423945502522498,-0.021123546573501385,-0.02076765321885842,0.01416571601277264,0.006673549095138392,0.002707381571348646,8.017944873261421e-4,-0.0036712114386666566
V17,-0.04258839232351669,-0.005593379240133413,-0.021304389671285444,0.010204782201185588,-3.236163608778824e-4,-0.007909382482145216,-0.00954963321326634,0.016188773345843694,0.011403199217801026,0.005236863169519134,-0.004969907159231591,-0.006720897808755942,-0.0024045542737846036,0.00392159057715565,-0.0021998561294328495,2.648415807469294e-4,0.008859942040047194,-0.005369779689982794,-0.010655722481555293,-5.34082285222059e-4,0.005941920116943772,0.030708492267098944,-0.011895344725013416,-0.004274213964267658,-0.006251146627848949,0.004837100207453476,0.018683008030231138,-0.003305285743199517,0.01906206127667251,9.676691232664194e-4
V18,0.03485592662819933,0.017379147303938462,0.017551043081967685,-0.011518840940354987,-0.010732268684420461,0.014707562815409412,-0.005572790451709083,-0.007080541022629471,-0.00565849199469467,0.0244947568990466,0.028788799338922137,-0.017694995656373634,-0.019432709248880038,0.01510055966770307,0.006262207919158559,0.011424867066092057,0.0023645022848609405,-0.005030110975447744,-0.00561340478497213,-0.015259080752030741,0.015821875320121248,0.0014889785243311132,7.424390463374523e-4,-0.012787664061727828,0.010341739309627186,0.017577266154222258,0.008282467998880787,0.004163504017712202,-3.0042606987503004e-4,-0.0011845845642059062
V19,0.0032858087716444826,0.0222849068171711,-0.015359178108364532,0.012908600058507764,0.01624854886859101,-0.014347527559479057,-0.024193539325252957,0.01243800117876378,0.00777740421175202,0.008078635885636799,-0.01665113012283212,-0.017790945257665107,0.03731972949927735,-0.014839925902134826,-0.02155346597633549,-0.0071447622043641,0.021516539909793405,-0.006176152459325241,-0.006621152096372617,-0.04659164560423985,0.018044087364744516,0.027726579452367624,0.024569770794482613,-0.02453998155604518,0.010946158524154568,-0.0010970808020573674,-0.007008949969395431,-0.005284864279200123,0.02368960368254502,0.007793732231678658
V20,0.010121150024553773,-0.012700202614629435,0.002118694841328028,-0.004960000440306845,8.95715115310834e-4,0.019599878463308684,0.010004891822127916,0.008524432538150977,-0.023683620994505803,0.01376382379893203,-0.004322361577419211,0.013477661777306067,-0.019490821371203598,0.026997872183530246,0.004658941589434735,0.011142453287749102,-0.03794281128676473,-0.030134004537619007,0.024407794607065807,0.02174334958606448,-0.0022313968452653717,0.010895167870276903,-0.009215662132636544,0.02373489227135851,0.0010230703651442456,0.010279316576279205,0.013613157546491863,0.007502868454767366,0.016266716462525036,0.002299265383315225
V21,0.0375320597868411,0.010009968363596175,-0.022616851419382127,0.021063895697357542,-0.010586451422573025,-0.029046545275256592,-0.005649932135378167,0.0034756501470691093,-0.027918607646068096,-0.0076779695874101125,0.007773553540698181,2.5549974597820164e-4,-0.004047535010788458,-0.008472700328343217,-0.007980238214103638,0.010826534106118243,0.009773577009724388,-0.0022836148361170612,0.002503959885831392,-0.023581679004575078,-0.014805412306937937,-7.218677144262412e-4,0.008213927883431232,-0.013577464070371241,0.007493896836431106,0.01452030753692453,0.007438739045740431,-0.004300825303016065,-0.008153503871151567,-0.003534551219355464
